subject,spam_label
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Last Chance to Register — Subsurface Live Is Tomorrow 🔥,1
The $1.9 trillion industry AI is about to demolish #869940,1
Class registration confirmation – Operations Management,0
Last Chance to Register — Subsurface Live Is Tomorrow,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts,1
Family photos from our trip to London,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty 🔥",1
GitHub: New sign-in from Germany,0
Invoice #8585 for consulting services,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live – Offer Ends Tonight,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! (Limited Time)",1
Family photos from our trip to New York,0
Payment received – thank you,0
Reminder: Doctor appointment on 7/3/2025 at 2:00 PM,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
Re: Question about ETL performance,0
The dirty secret of financial newsletters (Limited Time),1
Meeting notes: Drexel architecture review,0
Meeting notes: Vanguard architecture review,0
Reminder: Doctor appointment on 17/3/2024 at 4:15 PM,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 #231309",1
AWS billing statement for January 2023,0
Class registration confirmation – Machine Learning 501,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583,1
AWS billing statement for November 2023,0
Payment received – thank you,0
GitHub: New sign-in from Singapore,0
Class registration confirmation – Data Structures,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 – Offer Ends Tonight",1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 (Limited Time),1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts – Offer Ends Tonight,1
Re: Project status update for Q3 2025,0
Last Chance to Register — Subsurface Live Is Tomorrow (Limited Time),1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 #708244,1
Board meeting agenda – June 2023,0
Re: Question about feature flags,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 #485188",1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! 🔥",1
Board meeting agenda – September 2024,0
Meeting notes: Vanguard architecture review,0
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
Re: Project status update for Q3 2025,0
The $1.9 trillion industry AI is about to demolish 🔥,1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty – Offer Ends Tonight",1
This Drug MELTS Fat – Why Aren’t You on It Yet? (Limited Time),1
The $1.9 trillion industry AI is about to demolish 🔥,1
Your order #3216 has shipped,0
Invoice #1834 for consulting services,0
Standup summary – Cloud Migration,0
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
AWS billing statement for October 2024,0
Performance review discussion – May,0
Re: Project status update for Q1 2024,0
Calendar invite: 1:1 with Anita,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained (Limited Time)",1
Notes from today's lecture – LangChain agents,0
Your old TV setup is outdated… try this 👇 #5290677042 #928245,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #329299",1
Welcome to the DevOps toolkit beta program,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
The $1.9 trillion industry AI is about to demolish #213566,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) – Offer Ends Tonight,1
Don't miss out on your free trial.,1
Re: Question about ETL performance,0
Reminder: Doctor appointment on 8/11/2024 at 4:15 PM,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF,1
Standup summary – Data Engineering,0
Reminder: Doctor appointment on 20/3/2023 at 9:00 AM,0
GitHub: New sign-in from US,0
Board meeting agenda – January 2023,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! 🔥",1
Your order #6504 has shipped,0
Meeting notes: Vanguard architecture review,0
Invoice #5831 for consulting services,0
Payment received – thank you,0
Assignment feedback for Machine Learning 501,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 – Offer Ends Tonight",1
Your old TV setup is outdated… try this 👇 #5290677042 🔥,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… – Offer Ends Tonight",1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 (Limited Time),1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… #196588",1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #810255",1
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts #343321,1
Sprint 8709 planning meeting – Fri 2:00 PM,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 – Offer Ends Tonight",1
Calendar invite: 1:1 with Christin,0
Standup summary – Cloud Migration,0
Meeting notes: Vanguard architecture review,0
Your order #3067 has shipped,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 – Offer Ends Tonight,1
GitHub: New sign-in from India,0
Family photos from our trip to Bangalore,0
Sprint 5730 planning meeting – Tue 4:15 PM,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF (Limited Time),1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live (Limited Time),1
Standup summary – Cloud Migration,0
Performance review discussion – March,0
Class registration confirmation – Operations Management,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Class registration confirmation – Data Structures,0
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty 🔥",1
Family photos from our trip to San Francisco,0
Your order #9134 has shipped,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) 🔥,1
Zoom link for Kubernetes scaling,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 ✅",1
Zoom link for ETL performance,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) #239552,1
Notes from today's lecture – LangChain agents,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF (Limited Time),1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) – Offer Ends Tonight,1
AWS billing statement for June 2024,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF #574833,1
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Invoice #3640 for consulting services,0
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 ✅",1
Performance review discussion – February,0
Class registration confirmation – Operations Management,0
Standup summary – Data Engineering,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
Zoom link for ETL performance,0
Assignment feedback for Data Structures,0
Sprint 5464 planning meeting – Wed 11:30 AM,0
AWS billing statement for July 2024,0
Board meeting agenda – August 2025,0
Last Chance to Register — Subsurface Live Is Tomorrow,1
Last Chance to Register — Subsurface Live Is Tomorrow,1
Payment received – thank you,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 – Offer Ends Tonight",1
Invoice #1958 for consulting services,0
Sprint 9627 planning meeting – Thu 11:30 AM,0
Invoice #8457 for consulting services,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live,1
Reminder: Doctor appointment on 4/6/2025 at 4:15 PM,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! #645342",1
Your order #1129 has shipped,0
This Drug MELTS Fat – Why Aren’t You on It Yet? (Limited Time),1
Sprint 3677 planning meeting – Fri 9:00 AM,0
AWS billing statement for December 2023,0
The dirty secret of financial newsletters 🔥,1
Welcome to the DevOps toolkit beta program,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 🔥",1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty ✅",1
Welcome to the portfolio assistant beta program,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! ✅",1
Reminder: Doctor appointment on 12/9/2023 at 11:30 AM,0
Sprint 5700 planning meeting – Wed 4:15 PM,0
The $1.9 trillion industry AI is about to demolish ✅,1
The dirty secret of financial newsletters ✅,1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… (Limited Time)",1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻",1
Welcome to the DevOps toolkit beta program,0
This Drug MELTS Fat – Why Aren’t You on It Yet? (Limited Time),1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
Your old TV setup is outdated… try this 👇 #5290677042 ✅,1
Zoom link for Kubernetes scaling,0
Performance review discussion – June,0
Reminder: Doctor appointment on 10/12/2023 at 9:00 AM,0
Zoom link for LangChain agents,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained #660737",1
Board meeting agenda – May 2025,0
Invoice #5149 for consulting services,0
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Invoice #8097 for consulting services,0
Your order #1010 has shipped,0
Payment received – thank you,0
Class registration confirmation – Operations Management,0
GitHub: New sign-in from India,0
This Drug MELTS Fat – Why Aren’t You on It Yet? #926581,1
The dirty secret of financial newsletters ✅,1
Sprint 3005 planning meeting – Thu 4:15 PM,0
Meeting notes: Data Platform Team architecture review,0
Assignment feedback for MBA 610,0
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… 🔥",1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻",1
Reminder: Doctor appointment on 15/1/2023 at 11:30 AM,0
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ ✅,1
Payment received – thank you,0
Reminder: Doctor appointment on 13/8/2024 at 11:30 AM,0
Welcome to the RAG search beta program,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF #677503,1
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) – Offer Ends Tonight,1
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Amazon 🛍 Wardrobe Refresh Sale - Wishlist now ⚡️ 50–80% Off ✨ 1500+ brands • Latest trends • Same-day delivery on 4 lakh+ styles 👉🏻 🔥",1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
Assignment feedback for Data Structures,0
Zoom link for LangChain agents,0
This Drug MELTS Fat – Why Aren’t You on It Yet? ✅,1
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! – Offer Ends Tonight",1
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts – Offer Ends Tonight,1
Meeting notes: Drexel architecture review,0
Family photos from our trip to New York,0
Don't miss out on your free trial. 🔥,1
Family photos from our trip to Philadelphia,0
The $1.9 trillion industry AI is about to demolish,1
Reminder: Doctor appointment on 15/6/2025 at 2:00 PM,0
Payment received – thank you,0
"Hello yuvaraj.d85@gmail.com, Amazon Deals of the Day 📢 Up to 50% OFF on Home & Kitchen Appliances 🏠 + 10% Instant Savings 💳 + Cashback up to ₹9,999 👉 Shop Now! (Limited Time)",1
Don't miss out on your free trial. (Limited Time),1
The $1.9 trillion industry AI is about to demolish ✅,1
Your order #5282 has shipped,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 ✅,1
Board meeting agenda – January 2024,0
Payment received – thank you,0
Invoice #8967 for consulting services,0
Last Chance to Register — Subsurface Live Is Tomorrow ✅,1
Payment received – thank you,0
The $1.9 trillion industry AI is about to demolish (Limited Time),1
Re: Question about ETL performance,0
Welcome to the analytics dashboard beta program,0
Payment received – thank you,0
Welcome to the DevOps toolkit beta program,0
GitHub: New sign-in from US,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 #858632",1
This Drug MELTS Fat – Why Aren’t You on It Yet? #512766,1
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Assignment feedback for MBA 610,0
Calendar invite: 1:1 with Nima,0
Your order #6760 has shipped,0
The dirty secret of financial newsletters #725355,1
Performance review discussion – December,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts,1
Welcome to the portfolio assistant beta program,0
Invoice #3907 for consulting services,0
Board meeting agenda – December 2023,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Class registration confirmation – Operations Management,0
The $1.9 trillion industry AI is about to demolish ✅,1
This Drug MELTS Fat – Why Aren’t You on It Yet? #883348,1
Payment received – thank you,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained 🔥",1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained – Offer Ends Tonight",1
Invoice #6152 for consulting services,0
Your order #8490 has shipped,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 (Limited Time),1
GitHub: New sign-in from Singapore,0
Meeting notes: Internal Tools architecture review,0
Reminder: Doctor appointment on 16/7/2024 at 11:30 AM,0
Sprint 4712 planning meeting – Fri 11:30 AM,0
Welcome to the analytics dashboard beta program,0
Open Source Is Leading the Next Wave — See the Future at Subsurface Live ✅,1
GitHub: New sign-in from Singapore,0
Assignment feedback for Machine Learning 501,0
AWS billing statement for March 2023,0
Reminder: Doctor appointment on 18/1/2023 at 4:15 PM,0
Board meeting agenda – May 2025,0
AWS billing statement for February 2024,0
Last Chance to Register — Subsurface Live Is Tomorrow ✅,1
Meeting notes: Drexel architecture review,0
Don't miss out on your free trial. #356699,1
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Re: Project status update for Q2 2025,0
Notes from today's lecture – ETL performance,0
Family photos from our trip to Philadelphia,0
Welcome to the analytics dashboard beta program,0
AWS billing statement for January 2023,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual),1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty – Offer Ends Tonight",1
Family photos from our trip to London,0
Assignment feedback for MBA 610,0
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ – Offer Ends Tonight,1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 🔥",1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty",1
Welcome to the RAG search beta program,0
Your old TV setup is outdated… try this 👇 #5290677042 (Limited Time),1
"Hello yuvaraj.d85@gmail.com, Income Tax Department Is Tracking These 10 Transactions By You: Check How To Avoid Notice, Penalty (Limited Time)",1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
This Drug MELTS Fat – Why Aren’t You on It Yet?,1
Performance review discussion – July,0
Don't miss out on your free trial. 🔥,1
Sprint 8668 planning meeting – Thu 9:00 AM,0
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained 🔥",1
Re: Project status update for Q3 2024,0
Last Chance to Register — Subsurface Live Is Tomorrow (Limited Time),1
Calendar invite: 1:1 with Anita,0
Don't miss out on your free trial. ✅,1
Invoice #7859 for consulting services,0
AWS billing statement for July 2025,0
Your old TV setup is outdated… try this 👇 #5290677042,1
GitHub: New sign-in from India,0
Your order #1005 has shipped,0
Zoom link for feature flags,0
Don't miss out on your free trial. – Offer Ends Tonight,1
Open Source Is Leading the Next Wave — See the Future at Subsurface Live – Offer Ends Tonight,1
The dirty secret of financial newsletters ✅,1
Experience ultra-HD streaming at zero cost🎟️  #1264448583 (Limited Time),1
The dirty secret of financial newsletters #460428,1
Don't miss out on your free trial. 🔥,1
Sprint 7976 planning meeting – Fri 2:00 PM,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
Welcome to the analytics dashboard beta program,0
Reminder: Doctor appointment on 25/2/2023 at 2:00 PM,0
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect…",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ #251386,1
Zoom link for ETL performance,0
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻 ✅",1
⚠️Final Notice: Your photos and videos will be deleted – take action⚠️ (Limited Time),1
The dirty secret of financial newsletters ✅,1
Calendar invite: 1:1 with Lauren,0
This Drug MELTS Fat – Why Aren’t You on It Yet? – Offer Ends Tonight,1
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF 🔥,1
Notes from today's lecture – Kubernetes scaling,0
Notes from today's lecture – ETL performance,0
Re: Project status update for Q4 2025,0
Class registration confirmation – MBA 610,0
"Hello yuvaraj.d85@gmail.com, 💻 Smartchoice Tablets & Laptops 📣 Curated selection for every use  Powerhouse Picks 👉🏻 🔥",1
The dirty secret of financial newsletters (Limited Time),1
Class registration confirmation – Operations Management,0
Family photos from our trip to Chennai,0
MAKE HOLIDAY SHOPPING EASIER: JOIN FOR HALF OFF (Limited Time),1
Don't miss out on your free trial. ✅,1
"Hello yuvaraj.d85@gmail.com, Your credit score will now change every week: RBI’s new rules explained (Limited Time)",1
"Hello yuvaraj.d85@gmail.com,  ELECTRICITY BILLS to be REDUCED: Government planning to reduce power bills by using AI to detect… – Offer Ends Tonight",1
AWS billing statement for April 2024,0
You’re invited: Subsurface LIVE 2025 – December 10 (Virtual) ✅,1
"Hello yuvaraj.d85@gmail.com, Amazon📺 TVs & Appliances⚡️Up to 65% off 🎉 Festive Deals📣Ends Today - 10% Instant Discount on Credit Card & EASYEMI on Cards | Festive Treats 👉🏻",1
Reminder: Doctor appointment on 14/9/2023 at 4:15 PM,0
Performance review discussion – March,0
Board meeting agenda – March 2025,0
Zoom link for ETL performance,0
Payment received – thank you,0
Don't miss out on your free trial. 🔥,1
Welcome to the RAG search beta program,0
Invoice #2605 for consulting services,0
Family photos from our trip to Chennai,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Payment received – thank you,0
Sprint 8147 planning meeting – Fri 11:30 AM,0
This Drug MELTS Fat – Why Aren’t You on It Yet? 🔥,1
Standup summary – Cloud Migration,0
Experience ultra-HD streaming at zero cost🎟️  #1264448583 ✅,1
Sprint 5159 planning meeting – Thu 2:00 PM,0
You Are Our 3rd Winner !! Confirm & Claim 🎁 Lowe's  Gorilla Carts ✅,1
